SKU,ItemDescription,CumulativeUnitsCanada,Province,CustomerNo,CustomerName,SalesRep,Currency,PostingDate,OrderQuantity,AmountExclVAT,AmountInclVAT
10211-030,"Manarola, 1 Light LED pendant, Painted Antique Brass",13,BC,C00115,The Lighting Warehouse,MR - Luminescence,CAD,2025-07-18,3.0,636.0,667.8
10212-030,"Manarola, 3 Light Round LED Pendant, Painted Antique Brass",2,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-10-10,1.0,506.0,531.3
10212-030,"Manarola, 3 Light Round LED Pendant, Painted Antique Brass",2,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-04-16,1.0,506.0,531.3
10213-021-4K,"Manarola, 9 Light LED Chandelier, Painted Silver, 4000K",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-06-24,1.0,1650.0,1732.5
10217-02,"Manarola, 5 Light Linear LED Chandelier, Matte Black",1,AB,C00146,Robinson - Edmonton,MR - Luminescence,CAD,2025-05-02,1.0,858.0,900.9
10220-02,"Verona, 1 Light LED Pendant, Matte Black",7,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-09-05,1.0,253.0,265.65
10220-02,"Verona, 1 Light LED Pendant, Matte Black",7,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-03-07,4.0,1012.0,1062.6
10220-02,"Verona, 1 Light LED Pendant, Matte Black",7,BC,C00361,Norburn Lighting ,MR - Luminescence,CAD,2025-02-14,2.0,506.0,531.3
10220-02-02-4K,"Verona, 1 Light LED Pendant, Matte Black, All fittings black",3,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-10-06,3.0,873.0,916.65
10220-021-4K,"Verona, 1 Light LED Pendant, Painted Silver, 4000K ",4,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-06-24,4.0,1180.0,1239.0
10220-030,"Verona, 1 Light LED Pendant, Painted Antique Brass",5,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-04-16,1.0,253.0,265.65
10220-030,"Verona, 1 Light LED Pendant, Painted Antique Brass",5,AB,C00147,Robinson - Calgary,MR - Luminescence,CAD,2025-02-14,1.0,253.0,265.65
10220-030,"Verona, 1 Light LED Pendant, Painted Antique Brass",5,BC,C00300,Robinson - Surrey,MR - Luminescence,CAD,2025-06-11,3.0,759.0,796.95
10221-02-02-3K,"Verona, 3 Light LED Pendant, All Fittings on Pendants with Matte Black",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-10-06,1.0,780.0,819.0
10222-02-02-3K,"Verona, 9 Light Round LED Chandelier, All Fittings on Pendants with Matte Black",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-10-06,1.0,2297.0,2411.85
10225-030,"Verona, 8 Light Rectangular LED Chandelier, Painted Antique Brass",1,BC,C00095,McLaren Lighting - Victoria,MR - Luminescence,CAD,2025-03-28,1.0,1766.0,1854.3
10229-36-23-023-S,"Mistura, 23 Light Round LED Chandelier, Mixed, Matte Black Canopy, Stone",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-10-17,1.0,5530.0,5806.5
10231-023,"Mistura, 5 Light Linear LED Chandelier, Mixed, Matte Black Canopy",1,BC,C00091,Design Lighting,MR - Luminescence,CAD,2025-05-16,1.0,1142.0,1199.1
10233-48-16-030,"Mistura, 16 Light Oval LED Chandelier, Mixed, Painted Antique Brass",1,Alberta,C00070,Signature Lighting and Fans,MR - Luminescence,CAD,2025-07-21,1.0,3010.0,3160.5
